"id_str","created_at","crawled_at","screen_name","is_accident","full_text"
"1113976371515146240","2019-04-05 08:27:18","2020-02-08 12:30:29","mrahmatr7","1","Rekaman CCTV Kecelakaan Motor di PIK, depan Taman Grisenda :
https://t.co/gMHLep9IvZ mhmmdrhmtrmdhn
Visit Wonderful  #MRahmatRamadhan"
"1114010329313206272","2019-04-05 10:42:14","2020-02-08 12:30:43","PanritaNews","1","Tewaskan 346 Orang dalam 2 Kecelakaan, Boss Boeing Minta Maaf https://t.co/wLRhFy8oYE"
"1114037478237855745","2019-04-05 12:30:07","2020-02-08 12:30:56","VICE_ID","0","Anggota parlemen Taiwan juga berencana meningkatkan denda maksimum dan masa hukuman bagi orang yang menyetir dalam keadaan mabuk. https://t.co/GSWqziaKDN"
"1114121169873932288","2019-04-05 18:02:40","2020-02-08 12:31:38","OfficialSyariah","0","C.Gerakan.bicara pertolongan pertama pada kecelakaan (P3K-BAKAT) https://t.co/jlPyXK3EBV"
"1114149728323682305","2019-04-05 19:56:09","2020-02-08 12:31:54","AhliAsuransi","0","Asuransi mana nih??

https://t.co/AJyABmimcY

PPATK tidak memberikan rincian secara pasti siapa dan darimana asal partai caleg tersebut. Saat ini, pihaknya telah... https://t.co/AJyABmimcY"
"1114202648356331520","2019-04-05 23:26:26","2020-02-08 12:32:11","RadioElshinta","1","23.27: @PTJASAMARGA : Kunciran KM 14 - KM 16 arah Bitung PADAT, ada penanganan kecelakaan kendaraan truk fuso di bahu jalan."
"1114211596711157761","2019-04-06 00:02:00","2020-02-08 12:32:15","detikcom","1","Terjadi kecelakaan truk muatan besar di Tol Kunciran, Serpong arah Bitung. Akibatnya, terjadi kepadatan di lokasi kecelakaan. https://t.co/eeMnh9lZJa"
"1114430434694139904","2019-04-06 14:31:35","2020-02-08 12:33:11","adekrsnnd","0","Plot twist: Ibunya abis kecelakaan, nemenin ke UGD dan baru bisa ditinggal.

Tapi ya ga masalah sih. Yg penting kan eTikA pRofEsiOnaL. https://t.co/0e2zHaMkCo"
"1115096070793629696","2019-04-08 10:36:35","2020-02-08 12:47:30","TMC_Kebumen","0","UPDATE LAGI JADWAL SAMSAT KELILING DAN SAMSAT DESA
.
Tertib bayar pajak yuk, 😁
.
🚫Stop Pelanggaran
🚫Stop Kecelakaan
Keselamatan untuk… https://t.co/THOqIu80Zw"
"1115167875721859072","2019-04-08 15:21:55","2020-02-08 12:48:12","noonalin2","0","Dapet video kejadian kecelakaan tunggal di Margonda, Depok tadi pagi.. Ya Allah.. sedih liatnya.. 

Sudah biasa liat yg ky gt.. Ga serem, tp sedih iya.. Turut berduka.. :(

Buat kalian yg bawa kendaraan, jgn lupa berdoa sebelum bepergian, hati2 dan patuhi rambu yaa.."
"1115169816438919168","2019-04-08 15:29:37","2020-02-08 12:48:13","munawaroh813","0","👦: ""Abis kecelakaan dimna lo?""

👧: "" Gue gk kecelakaan kok, aman2 aja""

👦: "" trus itu knapa muka lo ancur""

SABAR. Muka jelek emang banyak cobaan"
"1115425444663181313","2019-04-09 08:25:24","2020-02-08 13:00:42","bestprofitsby","1","WNI Korban Tewas Kecelakaan Bus di Malaysia Bertambah Jadi 4 Orang - PT Bestprofit Futures Surabaya https://t.co/6Q1NFdiXc6"
"1115539083621572609","2019-04-09 15:56:57","2020-02-08 13:01:50","rezathalib","0","Shame on you @LionAirID @BoeingCEO @Boeing @BoeingAirplanes cc @kemenhub151 Keluarga Korban Kecelakaan Lion Air JT 610 Tolak Santunan Rp 1,25 Miliar, Ini Alasannya https://t.co/cCYr5NGhts"
"1115609216125816833","2019-04-09 20:35:38","2020-02-08 13:02:22","PTJASAMARGA","1","20.35 WIB #Tol_Japek Karawang Timur KM 51 - KM 52 arah Cikampek PADAT, ada Evakuasi Kecelakaan Kendaraan Truk di lajur 1/kiri dan bahu jalan."
"1115796754971090945","2019-04-10 09:00:51","2020-02-08 13:03:11","Beritasatu","1","#PopulerB1 2: Kecelakaan Bus di Malaysia, 4 WNI Meninggal dan 10 Terluka https://t.co/w3r06o7Hdq"
"1116268160003428352","2019-04-11 16:14:03","2020-02-08 13:17:14","terasid","1","Kecelakaan Maut Bus Eka di Ring Road Sragen https://t.co/ZgJGXEmYPD"
"1116535419250700289","2019-04-12 09:56:02","2020-02-08 13:18:24","galamedianews","1","Enam Orang Hilang Akibat Kecelakaan Kereta Api di Cina https://t.co/Yhz340dvaO"
"1117177148031131651","2019-04-14 04:26:02","2020-02-08 13:33:12","enlightedds_","0","Telah terjadi, kecelakaan DEPAN MATA GUA BANGET BANGSAT! bapak bapak bawa motor ditabrak dari belakang sama mobil pick up! Aing lagi makan mie rebus di warkop pinggur jalan langsung lemes -_-"
"1117313158446583808","2019-04-14 13:26:30","2020-02-08 13:33:41","serendipity1410","0","Resto H2B ini plg sukses dg layanan Go Foodnya.Antrean driver  mengular dan sabar menunggu.Sedih melihat anak bangsa, tak sedikit sarjana, bekerja tanpa jaminan kesehatan, jaminan kecelakaan kerja. Wish new President, new hope for better future of us"
"1117644979092852736","2019-04-15 11:25:02","2020-02-08 14:00:48","R2btopgonjol","1","Rembang – Satuan Lalu Lintas Polres Rembang masih menangani peristiwa kecelakaan lalu lintas di jalur Pantura Desa Punjulharjo, Rembang, yang mengakibatkan... https://t.co/LLh7U8BvpH"
